"rssi","uuid","eventId","logType","timeStamp"
"-97","9e1cec2d-9462-4c84-b3c7-c10dcb2febaa","0","0","1646800114056"
"-96","9e1cec2d-9462-4c84-b3c7-c10dcb2febaa","0","0","1646800114524"
"-97","9e1cec2d-9462-4c84-b3c7-c10dcb2febaa","0","0","1646800114875"
"-97","9e1cec2d-9462-4c84-b3c7-c10dcb2febaa","0","0","1646800114999"
"-97","9e1cec2d-9462-4c84-b3c7-c10dcb2febaa","0","0","1646800115124"
"-97","9e1cec2d-9462-4c84-b3c7-c10dcb2febaa","0","0","1646800115362"
"-96","9e1cec2d-9462-4c84-b3c7-c10dcb2febaa","0","0","1646800115477"
"-97","9e1cec2d-9462-4c84-b3c7-c10dcb2febaa","0","0","1646800115604"
"-95","9e1cec2d-9462-4c84-b3c7-c10dcb2febaa","0","0","1646800115727"
"-97","9e1cec2d-9462-4c84-b3c7-c10dcb2febaa","0","0","1646800115978"
"-96","9e1cec2d-9462-4c84-b3c7-c10dcb2febaa","0","0","1646800116104"
"-97","9e1cec2d-9462-4c84-b3c7-c10dcb2febaa","0","0","1646800116455"
"-97","9e1cec2d-9462-4c84-b3c7-c10dcb2febaa","0","0","1646800116578"
"-97","9e1cec2d-9462-4c84-b3c7-c10dcb2febaa","0","0","1646800116809"
"-95","9e1cec2d-9462-4c84-b3c7-c10dcb2febaa","0","0","1646800116933"
"-96","9e1cec2d-9462-4c84-b3c7-c10dcb2febaa","0","0","1646800117159"
"-98","9e1cec2d-9462-4c84-b3c7-c10dcb2febaa","0","0","1646800117284"
"-97","9e1cec2d-9462-4c84-b3c7-c10dcb2febaa","0","0","1646800117408"
"-98","9e1cec2d-9462-4c84-b3c7-c10dcb2febaa","0","0","1646800117633"
"-98","9e1cec2d-9462-4c84-b3c7-c10dcb2febaa","0","0","1646800118113"
"-96","9e1cec2d-9462-4c84-b3c7-c10dcb2febaa","0","0","1646800118489"
"-96","9e1cec2d-9462-4c84-b3c7-c10dcb2febaa","0","0","1646800118715"
"-98","9e1cec2d-9462-4c84-b3c7-c10dcb2febaa","0","0","1646800118824"
"-97","9e1cec2d-9462-4c84-b3c7-c10dcb2febaa","0","0","1646800119064"
"-98","9e1cec2d-9462-4c84-b3c7-c10dcb2febaa","0","0","1646800119443"
"-96","9e1cec2d-9462-4c84-b3c7-c10dcb2febaa","0","0","1646800119671"
"-97","9e1cec2d-9462-4c84-b3c7-c10dcb2febaa","0","0","1646800119919"
"-95","9e1cec2d-9462-4c84-b3c7-c10dcb2febaa","0","0","1646800120043"
"-96","9e1cec2d-9462-4c84-b3c7-c10dcb2febaa","0","0","1646800120270"
"-96","9e1cec2d-9462-4c84-b3c7-c10dcb2febaa","0","0","1646800120394"
"-95","9e1cec2d-9462-4c84-b3c7-c10dcb2febaa","0","0","1646800120523"
"-96","9e1cec2d-9462-4c84-b3c7-c10dcb2febaa","0","0","1646800120749"
"-96","9e1cec2d-9462-4c84-b3c7-c10dcb2febaa","0","0","1646800120873"
"-95","9e1cec2d-9462-4c84-b3c7-c10dcb2febaa","0","0","1646800121124"
