"rssi","uuid","eventId","logType","timeStamp"
"-67","9e1cec2d-9462-4c84-b3c7-c10dcb2febaa","0","0","1646798595863"
"-65","9e1cec2d-9462-4c84-b3c7-c10dcb2febaa","0","0","1646798596091"
"-68","9e1cec2d-9462-4c84-b3c7-c10dcb2febaa","0","0","1646798596193"
"-67","9e1cec2d-9462-4c84-b3c7-c10dcb2febaa","0","0","1646798596319"
"-68","9e1cec2d-9462-4c84-b3c7-c10dcb2febaa","0","0","1646798596440"
"-69","9e1cec2d-9462-4c84-b3c7-c10dcb2febaa","0","0","1646798596566"
"-67","9e1cec2d-9462-4c84-b3c7-c10dcb2febaa","0","0","1646798596674"
"-68","9e1cec2d-9462-4c84-b3c7-c10dcb2febaa","0","0","1646798596798"
"-72","9e1cec2d-9462-4c84-b3c7-c10dcb2febaa","0","0","1646798596922"
"-71","9e1cec2d-9462-4c84-b3c7-c10dcb2febaa","0","0","1646798597046"
"-69","9e1cec2d-9462-4c84-b3c7-c10dcb2febaa","0","0","1646798597174"
"-68","9e1cec2d-9462-4c84-b3c7-c10dcb2febaa","0","0","1646798597275"
"-69","9e1cec2d-9462-4c84-b3c7-c10dcb2febaa","0","0","1646798597395"
"-68","9e1cec2d-9462-4c84-b3c7-c10dcb2febaa","0","0","1646798597523"
"-68","9e1cec2d-9462-4c84-b3c7-c10dcb2febaa","0","0","1646798597647"
"-68","9e1cec2d-9462-4c84-b3c7-c10dcb2febaa","0","0","1646798597771"
"-68","9e1cec2d-9462-4c84-b3c7-c10dcb2febaa","0","0","1646798598027"
"-67","9e1cec2d-9462-4c84-b3c7-c10dcb2febaa","0","0","1646798598126"
"-69","9e1cec2d-9462-4c84-b3c7-c10dcb2febaa","0","0","1646798598251"
"-70","9e1cec2d-9462-4c84-b3c7-c10dcb2febaa","0","0","1646798598377"
"-67","9e1cec2d-9462-4c84-b3c7-c10dcb2febaa","0","0","1646798598627"
"-68","9e1cec2d-9462-4c84-b3c7-c10dcb2febaa","0","0","1646798598726"
"-67","9e1cec2d-9462-4c84-b3c7-c10dcb2febaa","0","0","1646798598853"
"-67","9e1cec2d-9462-4c84-b3c7-c10dcb2febaa","0","0","1646798598977"
"-68","9e1cec2d-9462-4c84-b3c7-c10dcb2febaa","0","0","1646798599100"
"-70","9e1cec2d-9462-4c84-b3c7-c10dcb2febaa","0","0","1646798599208"
"-67","9e1cec2d-9462-4c84-b3c7-c10dcb2febaa","0","0","1646798599332"
"-67","9e1cec2d-9462-4c84-b3c7-c10dcb2febaa","0","0","1646798599456"
"-68","9e1cec2d-9462-4c84-b3c7-c10dcb2febaa","0","0","1646798599581"
"-70","9e1cec2d-9462-4c84-b3c7-c10dcb2febaa","0","0","1646798599708"
"-66","9e1cec2d-9462-4c84-b3c7-c10dcb2febaa","0","0","1646798599807"
