"rssi","uuid","eventId","logType","timeStamp"
"-86","03941279-7ba4-47aa-86f6-20fbd4f9e5ac","0","0","1649137419189"
"-86","03941279-7ba4-47aa-86f6-20fbd4f9e5ac","0","0","1649137419195"
"-86","03941279-7ba4-47aa-86f6-20fbd4f9e5ac","0","0","1649137419420"
"-86","03941279-7ba4-47aa-86f6-20fbd4f9e5ac","0","0","1649137419424"
"-88","03941279-7ba4-47aa-86f6-20fbd4f9e5ac","0","0","1649137419549"
"-88","03941279-7ba4-47aa-86f6-20fbd4f9e5ac","0","0","1649137419553"
"-86","03941279-7ba4-47aa-86f6-20fbd4f9e5ac","0","0","1649137419653"
"-86","03941279-7ba4-47aa-86f6-20fbd4f9e5ac","0","0","1649137419657"
"-86","03941279-7ba4-47aa-86f6-20fbd4f9e5ac","0","0","1649137419903"
"-86","03941279-7ba4-47aa-86f6-20fbd4f9e5ac","0","0","1649137419906"
"-90","03941279-7ba4-47aa-86f6-20fbd4f9e5ac","0","0","1649137420008"
"-90","03941279-7ba4-47aa-86f6-20fbd4f9e5ac","0","0","1649137420012"
"-85","03941279-7ba4-47aa-86f6-20fbd4f9e5ac","0","0","1649137420141"
"-85","03941279-7ba4-47aa-86f6-20fbd4f9e5ac","0","0","1649137420147"
"-85","03941279-7ba4-47aa-86f6-20fbd4f9e5ac","0","0","1649137420273"
"-85","03941279-7ba4-47aa-86f6-20fbd4f9e5ac","0","0","1649137420278"
"-86","03941279-7ba4-47aa-86f6-20fbd4f9e5ac","0","0","1649137420380"
"-86","03941279-7ba4-47aa-86f6-20fbd4f9e5ac","0","0","1649137420384"
"-85","03941279-7ba4-47aa-86f6-20fbd4f9e5ac","0","0","1649137420483"
"-85","03941279-7ba4-47aa-86f6-20fbd4f9e5ac","0","0","1649137420486"
"-85","03941279-7ba4-47aa-86f6-20fbd4f9e5ac","0","0","1649137420654"
"-85","03941279-7ba4-47aa-86f6-20fbd4f9e5ac","0","0","1649137420657"
"-86","03941279-7ba4-47aa-86f6-20fbd4f9e5ac","0","0","1649137420856"
"-86","03941279-7ba4-47aa-86f6-20fbd4f9e5ac","0","0","1649137420858"
"-85","03941279-7ba4-47aa-86f6-20fbd4f9e5ac","0","0","1649137420960"
"-85","03941279-7ba4-47aa-86f6-20fbd4f9e5ac","0","0","1649137420964"
"-85","03941279-7ba4-47aa-86f6-20fbd4f9e5ac","0","0","1649137421098"
"-85","03941279-7ba4-47aa-86f6-20fbd4f9e5ac","0","0","1649137421101"
"-88","03941279-7ba4-47aa-86f6-20fbd4f9e5ac","0","0","1649137421334"
"-88","03941279-7ba4-47aa-86f6-20fbd4f9e5ac","0","0","1649137421337"
"-85","03941279-7ba4-47aa-86f6-20fbd4f9e5ac","0","0","1649137421447"
"-85","03941279-7ba4-47aa-86f6-20fbd4f9e5ac","0","0","1649137421449"
"-85","03941279-7ba4-47aa-86f6-20fbd4f9e5ac","0","0","1649137421594"
"-85","03941279-7ba4-47aa-86f6-20fbd4f9e5ac","0","0","1649137421598"
"-89","03941279-7ba4-47aa-86f6-20fbd4f9e5ac","0","0","1649137421700"
"-89","03941279-7ba4-47aa-86f6-20fbd4f9e5ac","0","0","1649137421702"
"-91","03941279-7ba4-47aa-86f6-20fbd4f9e5ac","0","0","1649137421831"
"-91","03941279-7ba4-47aa-86f6-20fbd4f9e5ac","0","0","1649137421835"
"-88","03941279-7ba4-47aa-86f6-20fbd4f9e5ac","0","0","1649137421937"
"-88","03941279-7ba4-47aa-86f6-20fbd4f9e5ac","0","0","1649137421941"
"-87","03941279-7ba4-47aa-86f6-20fbd4f9e5ac","0","0","1649137422073"
"-87","03941279-7ba4-47aa-86f6-20fbd4f9e5ac","0","0","1649137422076"
"-88","03941279-7ba4-47aa-86f6-20fbd4f9e5ac","0","0","1649137422311"
"-88","03941279-7ba4-47aa-86f6-20fbd4f9e5ac","0","0","1649137422313"
"-90","03941279-7ba4-47aa-86f6-20fbd4f9e5ac","0","0","1649137422413"
"-90","03941279-7ba4-47aa-86f6-20fbd4f9e5ac","0","0","1649137422417"
"-85","03941279-7ba4-47aa-86f6-20fbd4f9e5ac","0","0","1649137422559"
"-85","03941279-7ba4-47aa-86f6-20fbd4f9e5ac","0","0","1649137422561"
"-86","03941279-7ba4-47aa-86f6-20fbd4f9e5ac","0","0","1649137422668"
"-86","03941279-7ba4-47aa-86f6-20fbd4f9e5ac","0","0","1649137422671"
"-87","03941279-7ba4-47aa-86f6-20fbd4f9e5ac","0","0","1649137422795"
"-87","03941279-7ba4-47aa-86f6-20fbd4f9e5ac","0","0","1649137422797"
