"rssi","uuid","eventId","logType","timeStamp"
"-91","7863f94c-4c79-4772-9486-3d1103ec0255","0","0","1647335405041"
"-91","7863f94c-4c79-4772-9486-3d1103ec0255","0","0","1647335405166"
"-91","7863f94c-4c79-4772-9486-3d1103ec0255","0","0","1647335405524"
"-98","7863f94c-4c79-4772-9486-3d1103ec0255","0","0","1647335405893"
"-84","7863f94c-4c79-4772-9486-3d1103ec0255","0","0","1647335406122"
"-81","7863f94c-4c79-4772-9486-3d1103ec0255","0","0","1647335406203"
"-89","7863f94c-4c79-4772-9486-3d1103ec0255","0","0","1647335406315"
"-86","7863f94c-4c79-4772-9486-3d1103ec0255","0","0","1647335406714"
"-91","7863f94c-4c79-4772-9486-3d1103ec0255","0","0","1647335406924"
"-90","7863f94c-4c79-4772-9486-3d1103ec0255","0","0","1647335407144"
"-85","7863f94c-4c79-4772-9486-3d1103ec0255","0","0","1647335407323"
"-88","7863f94c-4c79-4772-9486-3d1103ec0255","0","0","1647335407585"
"-97","7863f94c-4c79-4772-9486-3d1103ec0255","0","0","1647335407705"
"-86","7863f94c-4c79-4772-9486-3d1103ec0255","0","0","1647335408052"
"-86","7863f94c-4c79-4772-9486-3d1103ec0255","0","0","1647335408102"
"-86","7863f94c-4c79-4772-9486-3d1103ec0255","0","0","1647335408658"
"-92","7863f94c-4c79-4772-9486-3d1103ec0255","0","0","1647335408904"
"-89","7863f94c-4c79-4772-9486-3d1103ec0255","0","0","1647335409069"
"-95","7863f94c-4c79-4772-9486-3d1103ec0255","0","0","1647335409243"
"-91","7863f94c-4c79-4772-9486-3d1103ec0255","0","0","1647335409365"
"-90","7863f94c-4c79-4772-9486-3d1103ec0255","0","0","1647335409451"
"-85","7863f94c-4c79-4772-9486-3d1103ec0255","0","0","1647335409966"
"-86","7863f94c-4c79-4772-9486-3d1103ec0255","0","0","1647335410344"
"-85","7863f94c-4c79-4772-9486-3d1103ec0255","0","0","1647335410461"
"-82","7863f94c-4c79-4772-9486-3d1103ec0255","0","0","1647335410683"
"-81","7863f94c-4c79-4772-9486-3d1103ec0255","0","0","1647335410828"
"-81","7863f94c-4c79-4772-9486-3d1103ec0255","0","0","1647335411043"
"-83","7863f94c-4c79-4772-9486-3d1103ec0255","0","0","1647335411152"
"-88","7863f94c-4c79-4772-9486-3d1103ec0255","0","0","1647335411390"
"-83","7863f94c-4c79-4772-9486-3d1103ec0255","0","0","1647335411530"
"-82","7863f94c-4c79-4772-9486-3d1103ec0255","0","0","1647335411644"
"-88","7863f94c-4c79-4772-9486-3d1103ec0255","0","0","1647335411889"
"-87","7863f94c-4c79-4772-9486-3d1103ec0255","0","0","1647335412120"
"-82","7863f94c-4c79-4772-9486-3d1103ec0255","0","0","1647335412262"
"-82","7863f94c-4c79-4772-9486-3d1103ec0255","0","0","1647335412350"
"-86","7863f94c-4c79-4772-9486-3d1103ec0255","0","0","1647335412586"
"-91","7863f94c-4c79-4772-9486-3d1103ec0255","0","0","1647335412705"
"-91","7863f94c-4c79-4772-9486-3d1103ec0255","0","0","1647335412835"
"-85","7863f94c-4c79-4772-9486-3d1103ec0255","0","0","1647335413001"
"-84","7863f94c-4c79-4772-9486-3d1103ec0255","0","0","1647335413304"
"-85","7863f94c-4c79-4772-9486-3d1103ec0255","0","0","1647335413533"
"-85","7863f94c-4c79-4772-9486-3d1103ec0255","0","0","1647335413953"
"-84","7863f94c-4c79-4772-9486-3d1103ec0255","0","0","1647335414275"
"-85","7863f94c-4c79-4772-9486-3d1103ec0255","0","0","1647335414509"
"-86","7863f94c-4c79-4772-9486-3d1103ec0255","0","0","1647335414779"
"-85","7863f94c-4c79-4772-9486-3d1103ec0255","0","0","1647335414902"
"-86","7863f94c-4c79-4772-9486-3d1103ec0255","0","0","1647335415144"
"-86","7863f94c-4c79-4772-9486-3d1103ec0255","0","0","1647335415223"
"-86","7863f94c-4c79-4772-9486-3d1103ec0255","0","0","1647335415388"
"-86","7863f94c-4c79-4772-9486-3d1103ec0255","0","0","1647335415473"
"-85","7863f94c-4c79-4772-9486-3d1103ec0255","0","0","1647335415720"
"-85","7863f94c-4c79-4772-9486-3d1103ec0255","0","0","1647335415996"
"-86","7863f94c-4c79-4772-9486-3d1103ec0255","0","0","1647335416117"
"-85","7863f94c-4c79-4772-9486-3d1103ec0255","0","0","1647335416364"
"-84","7863f94c-4c79-4772-9486-3d1103ec0255","0","0","1647335416427"
"-86","7863f94c-4c79-4772-9486-3d1103ec0255","0","0","1647335416546"
"-88","7863f94c-4c79-4772-9486-3d1103ec0255","0","0","1647335416680"
"-86","7863f94c-4c79-4772-9486-3d1103ec0255","0","0","1647335416852"
"-86","7863f94c-4c79-4772-9486-3d1103ec0255","0","0","1647335416925"
"-86","7863f94c-4c79-4772-9486-3d1103ec0255","0","0","1647335417094"
"-85","7863f94c-4c79-4772-9486-3d1103ec0255","0","0","1647335417310"
"-85","7863f94c-4c79-4772-9486-3d1103ec0255","0","0","1647335417394"
"-89","7863f94c-4c79-4772-9486-3d1103ec0255","0","0","1647335417632"
"-87","7863f94c-4c79-4772-9486-3d1103ec0255","0","0","1647335417800"
"-85","7863f94c-4c79-4772-9486-3d1103ec0255","0","0","1647335418366"
"-87","7863f94c-4c79-4772-9486-3d1103ec0255","0","0","1647335418601"
