"rssi","uuid","eventId","logType","timeStamp"
"-78","23b597d5-b6c6-4ab7-be9d-913e5097b814","0","0","1647335402995"
"-80","23b597d5-b6c6-4ab7-be9d-913e5097b814","0","0","1647335403110"
"-80","23b597d5-b6c6-4ab7-be9d-913e5097b814","0","0","1647335403229"
"-77","23b597d5-b6c6-4ab7-be9d-913e5097b814","0","0","1647335403354"
"-79","23b597d5-b6c6-4ab7-be9d-913e5097b814","0","0","1647335403487"
"-80","23b597d5-b6c6-4ab7-be9d-913e5097b814","0","0","1647335403603"
"-79","23b597d5-b6c6-4ab7-be9d-913e5097b814","0","0","1647335403724"
"-79","23b597d5-b6c6-4ab7-be9d-913e5097b814","0","0","1647335403844"
"-81","23b597d5-b6c6-4ab7-be9d-913e5097b814","0","0","1647335403965"
"-83","23b597d5-b6c6-4ab7-be9d-913e5097b814","0","0","1647335404060"
"-84","23b597d5-b6c6-4ab7-be9d-913e5097b814","0","0","1647335404220"
"-84","23b597d5-b6c6-4ab7-be9d-913e5097b814","0","0","1647335404304"
"-82","23b597d5-b6c6-4ab7-be9d-913e5097b814","0","0","1647335404428"
"-76","23b597d5-b6c6-4ab7-be9d-913e5097b814","0","0","1647335404561"
"-76","23b597d5-b6c6-4ab7-be9d-913e5097b814","0","0","1647335404681"
"-85","23b597d5-b6c6-4ab7-be9d-913e5097b814","0","0","1647335404941"
"-82","23b597d5-b6c6-4ab7-be9d-913e5097b814","0","0","1647335405049"
"-79","23b597d5-b6c6-4ab7-be9d-913e5097b814","0","0","1647335405167"
"-77","23b597d5-b6c6-4ab7-be9d-913e5097b814","0","0","1647335405279"
"-77","23b597d5-b6c6-4ab7-be9d-913e5097b814","0","0","1647335405411"
"-78","23b597d5-b6c6-4ab7-be9d-913e5097b814","0","0","1647335405534"
"-82","23b597d5-b6c6-4ab7-be9d-913e5097b814","0","0","1647335405656"
"-88","23b597d5-b6c6-4ab7-be9d-913e5097b814","0","0","1647335405769"
"-81","23b597d5-b6c6-4ab7-be9d-913e5097b814","0","0","1647335406040"
"-80","23b597d5-b6c6-4ab7-be9d-913e5097b814","0","0","1647335406139"
"-81","23b597d5-b6c6-4ab7-be9d-913e5097b814","0","0","1647335406233"
"-82","23b597d5-b6c6-4ab7-be9d-913e5097b814","0","0","1647335406363"
"-90","23b597d5-b6c6-4ab7-be9d-913e5097b814","0","0","1647335406485"
"-85","23b597d5-b6c6-4ab7-be9d-913e5097b814","0","0","1647335406606"
"-85","23b597d5-b6c6-4ab7-be9d-913e5097b814","0","0","1647335406731"
"-85","23b597d5-b6c6-4ab7-be9d-913e5097b814","0","0","1647335406843"
"-83","23b597d5-b6c6-4ab7-be9d-913e5097b814","0","0","1647335406965"
"-80","23b597d5-b6c6-4ab7-be9d-913e5097b814","0","0","1647335407087"
"-80","23b597d5-b6c6-4ab7-be9d-913e5097b814","0","0","1647335407226"
"-83","23b597d5-b6c6-4ab7-be9d-913e5097b814","0","0","1647335407342"
"-84","23b597d5-b6c6-4ab7-be9d-913e5097b814","0","0","1647335407437"
"-84","23b597d5-b6c6-4ab7-be9d-913e5097b814","0","0","1647335407558"
"-84","23b597d5-b6c6-4ab7-be9d-913e5097b814","0","0","1647335407681"
"-83","23b597d5-b6c6-4ab7-be9d-913e5097b814","0","0","1647335407787"
"-77","23b597d5-b6c6-4ab7-be9d-913e5097b814","0","0","1647335408155"
"-77","23b597d5-b6c6-4ab7-be9d-913e5097b814","0","0","1647335408290"
"-87","23b597d5-b6c6-4ab7-be9d-913e5097b814","0","0","1647335408411"
"-94","23b597d5-b6c6-4ab7-be9d-913e5097b814","0","0","1647335408538"
"-94","23b597d5-b6c6-4ab7-be9d-913e5097b814","0","0","1647335408662"
"-83","23b597d5-b6c6-4ab7-be9d-913e5097b814","0","0","1647335408783"
"-79","23b597d5-b6c6-4ab7-be9d-913e5097b814","0","0","1647335408876"
"-79","23b597d5-b6c6-4ab7-be9d-913e5097b814","0","0","1647335408998"
"-78","23b597d5-b6c6-4ab7-be9d-913e5097b814","0","0","1647335409144"
"-75","23b597d5-b6c6-4ab7-be9d-913e5097b814","0","0","1647335409239"
"-72","23b597d5-b6c6-4ab7-be9d-913e5097b814","0","0","1647335409359"
"-72","23b597d5-b6c6-4ab7-be9d-913e5097b814","0","0","1647335409475"
"-73","23b597d5-b6c6-4ab7-be9d-913e5097b814","0","0","1647335409602"
"-74","23b597d5-b6c6-4ab7-be9d-913e5097b814","0","0","1647335409718"
"-72","23b597d5-b6c6-4ab7-be9d-913e5097b814","0","0","1647335409849"
"-72","23b597d5-b6c6-4ab7-be9d-913e5097b814","0","0","1647335409957"
"-76","23b597d5-b6c6-4ab7-be9d-913e5097b814","0","0","1647335410084"
"-77","23b597d5-b6c6-4ab7-be9d-913e5097b814","0","0","1647335410231"
