"rssi","uuid","eventId","logType","timeStamp"
"-99","29382d43-0bf0-4144-be3e-476398d9721a","0","0","1647333403458"
"-93","29382d43-0bf0-4144-be3e-476398d9721a","0","0","1647333404174"
"-100","29382d43-0bf0-4144-be3e-476398d9721a","0","0","1647333404399"
"-97","29382d43-0bf0-4144-be3e-476398d9721a","0","0","1647333404677"
"-101","29382d43-0bf0-4144-be3e-476398d9721a","0","0","1647333406573"
"-96","29382d43-0bf0-4144-be3e-476398d9721a","0","0","1647333412906"
"-96","29382d43-0bf0-4144-be3e-476398d9721a","0","0","1647333413276"
"-95","29382d43-0bf0-4144-be3e-476398d9721a","0","0","1647333413357"
"-95","29382d43-0bf0-4144-be3e-476398d9721a","0","0","1647333413507"
"-96","29382d43-0bf0-4144-be3e-476398d9721a","0","0","1647333413846"
"-97","29382d43-0bf0-4144-be3e-476398d9721a","0","0","1647333414216"
"-98","29382d43-0bf0-4144-be3e-476398d9721a","0","0","1647333414317"
"-97","29382d43-0bf0-4144-be3e-476398d9721a","0","0","1647333414599"
"-96","29382d43-0bf0-4144-be3e-476398d9721a","0","0","1647333415183"
"-96","29382d43-0bf0-4144-be3e-476398d9721a","0","0","1647333415289"
"-97","29382d43-0bf0-4144-be3e-476398d9721a","0","0","1647333416266"
"-96","29382d43-0bf0-4144-be3e-476398d9721a","0","0","1647333416532"
"-99","29382d43-0bf0-4144-be3e-476398d9721a","0","0","1647333416781"
"-97","29382d43-0bf0-4144-be3e-476398d9721a","0","0","1647333416960"
"-96","29382d43-0bf0-4144-be3e-476398d9721a","0","0","1647333422744"
"-97","29382d43-0bf0-4144-be3e-476398d9721a","0","0","1647333423120"
"-99","29382d43-0bf0-4144-be3e-476398d9721a","0","0","1647333423274"
"-97","29382d43-0bf0-4144-be3e-476398d9721a","0","0","1647333426744"
"-96","29382d43-0bf0-4144-be3e-476398d9721a","0","0","1647333434660"
"-96","29382d43-0bf0-4144-be3e-476398d9721a","0","0","1647333440527"
