,rssi,target
0,-91,0
1,-81,0
2,-87,0
3,-82,1
4,-90,0
5,-93,0
6,-82,0
7,-81,0
8,-76,0
9,-85,1
10,-78,1
11,-78,0
12,-92,0
13,-77,1
14,-92,0
15,-94,0
16,-69,1
17,-101,0
18,-79,0
19,-95,0
20,-98,0
21,-71,1
22,-99,0
23,-77,0
24,-82,0
25,-71,1
26,-69,1
27,-73,0
28,-83,0
29,-79,1
30,-82,1
31,-96,0
32,-82,1
33,-97,0
34,-88,0
35,-98,0
36,-76,1
37,-92,0
38,-87,1
39,-81,0
40,-73,0
41,-92,0
42,-77,1
43,-99,0
44,-71,0
45,-92,1
46,-71,1
47,-91,0
48,-77,0
49,-85,1
50,-94,0
51,-85,1
52,-77,1
53,-72,0
54,-85,1
55,-82,0
56,-85,0
57,-85,0
58,-93,1
59,-92,0
60,-98,0
61,-94,0
62,-91,0
63,-93,0
64,-94,0
65,-89,0
66,-86,0
67,-91,0
68,-76,0
69,-85,0
70,-79,0
71,-84,0
72,-88,1
73,-69,1
74,-71,1
75,-92,1
76,-80,0
77,-86,1
78,-96,0
79,-78,0
80,-73,0
81,-96,0
82,-89,0
83,-82,1
84,-83,0
85,-97,0
86,-83,0
87,-75,0
88,-89,1
89,-92,0
90,-92,0
91,-77,0
92,-90,0
93,-88,1
94,-87,1
95,-85,1
96,-98,0
97,-89,0
98,-80,0
99,-89,0
100,-78,0
101,-78,0
102,-89,0
103,-81,0
104,-69,1
105,-79,0
106,-80,0
107,-76,0
108,-82,0
109,-83,1
110,-80,1
111,-91,0
112,-96,0
113,-96,1
114,-91,0
115,-95,0
116,-80,1
117,-89,0
118,-90,0
119,-81,0
120,-78,1
121,-85,1
122,-79,0
123,-86,1
124,-70,0
125,-71,0
126,-74,0
127,-88,1
128,-90,0
129,-78,0
130,-97,0
131,-81,0
132,-75,1
133,-92,0
134,-92,0
135,-87,0
136,-75,1
137,-89,0
138,-87,0
139,-91,0
140,-79,0
141,-88,1
142,-93,1
143,-86,0
144,-94,0
145,-74,0
146,-91,0
147,-84,0
148,-93,0
149,-74,0
150,-86,0
151,-96,0
152,-82,0
153,-96,0
154,-92,0
155,-80,0
156,-85,0
157,-83,1
158,-78,1
159,-89,0
160,-77,1
161,-88,0
162,-82,0
163,-66,1
164,-97,0
165,-78,0
166,-69,1
167,-80,0
168,-92,0
169,-86,1
170,-99,0
