,rssi,target
0,-98,0
1,-99,0
2,-100,0
3,-99,0
4,-88,0
5,-90,0
6,-89,0
7,-97,0
8,-99,0
9,-94,0
10,-86,0
11,-89,0
12,-94,0
13,-98,0
14,-89,0
15,-95,0
16,-90,0
17,-98,0
18,-70,1
19,-97,0
20,-90,0
21,-100,0
22,-89,0
23,-96,0
24,-100,0
25,-69,1
26,-91,0
27,-97,0
28,-100,0
29,-71,1
30,-70,1
31,-89,0
32,-98,0
33,-89,0
34,-100,0
35,-68,1
36,-90,0
37,-99,0
38,-90,0
39,-66,1
40,-66,1
41,-90,0
42,-95,0
43,-90,0
44,-96,0
45,-71,1
46,-89,0
47,-92,0
48,-67,1
49,-97,0
50,-89,0
51,-70,1
52,-69,1
53,-93,0
54,-96,0
55,-89,0
56,-72,1
57,-90,0
58,-89,0
59,-100,0
60,-67,1
61,-68,1
62,-98,0
63,-67,1
64,-94,0
65,-99,0
66,-89,0
67,-96,0
68,-97,0
69,-89,0
70,-98,0
71,-65,1
72,-98,0
73,-68,1
74,-89,0
75,-89,0
76,-73,1
77,-100,0
78,-89,0
79,-89,0
80,-89,0
81,-97,0
82,-74,1
83,-69,1
84,-89,0
85,-87,0
86,-68,1
87,-87,0
88,-89,0
89,-67,1
90,-99,0
91,-66,1
92,-96,0
93,-90,0
94,-90,0
95,-98,0
96,-90,0
97,-96,0
98,-99,0
99,-89,0
100,-99,0
101,-90,0
102,-89,0
103,-91,0
104,-68,1
105,-90,0
106,-100,0
107,-67,1
108,-69,1
109,-70,1
110,-65,1
111,-95,0
112,-100,0
113,-97,0
114,-70,1
115,-90,0
116,-98,0
117,-87,0
118,-95,0
119,-89,0
120,-93,0
121,-98,0
122,-97,0
123,-67,1
124,-99,0
125,-69,1
126,-89,0
127,-89,0
128,-89,0
129,-96,0
130,-94,0
131,-89,0
132,-70,1
133,-90,0
134,-99,0
135,-96,0
136,-98,0
137,-90,0
138,-100,0
139,-97,0
140,-95,0
141,-96,0
142,-92,0
143,-98,0
144,-99,0
145,-71,1
146,-96,0
147,-95,0
148,-99,0
149,-77,1
150,-89,0
151,-91,0
152,-68,1
153,-96,0
154,-89,0
155,-97,0
156,-100,0
157,-98,0
158,-89,0
159,-89,0
160,-72,1
161,-98,0
162,-67,1
163,-89,0
164,-92,0
165,-70,1
166,-66,1
167,-89,0
168,-89,0
169,-71,1
170,-89,0
171,-77,1
172,-96,0
173,-89,0
174,-99,0
175,-90,0
176,-89,0
177,-99,0
178,-68,1
179,-90,0
180,-68,1
181,-100,0
182,-67,1
183,-67,1
184,-100,0
185,-71,1
186,-89,0
187,-99,0
188,-72,1
189,-69,1
190,-67,1
191,-68,1
192,-69,1
193,-99,0
194,-69,1
195,-93,0
196,-89,0
197,-93,0
198,-89,0
199,-89,0
200,-90,0
201,-90,0
202,-99,0
203,-96,0
204,-90,0
205,-90,0
206,-89,0
207,-89,0
208,-71,1
209,-90,0
210,-98,0
211,-90,0
212,-69,1
213,-90,0
214,-71,1
215,-89,0
216,-89,0
217,-99,0
218,-101,0
219,-69,1
220,-68,1
221,-69,1
222,-89,0
223,-99,0
224,-95,0
225,-70,1
226,-72,1
227,-88,0
228,-90,0
229,-99,0
230,-98,0
231,-89,0
232,-88,0
233,-86,0
234,-96,0
235,-70,1
236,-100,0
237,-68,1
238,-89,0
239,-100,0
240,-95,0
241,-100,0
242,-98,0
243,-89,0
244,-100,0
245,-96,0
246,-99,0
247,-71,1
248,-97,0
249,-66,1
250,-70,1
251,-87,0
252,-97,0
253,-96,0
254,-97,0
255,-95,0
256,-89,0
257,-70,1
258,-95,0
259,-96,0
260,-99,0
261,-96,0
262,-89,0
263,-66,1
264,-70,1
265,-68,1
266,-89,0
267,-96,0
268,-71,1
269,-68,1
270,-72,1
271,-96,0
272,-70,1
273,-95,0
274,-99,0
275,-66,1
276,-77,1
277,-89,0
278,-94,0
279,-89,0
280,-68,1
281,-89,0
282,-89,0
283,-97,0
284,-94,0
285,-97,0
286,-90,0
287,-99,0
288,-66,1
289,-69,1
290,-93,0
291,-96,0
292,-89,0
293,-99,0
294,-100,0
295,-97,0
296,-99,0
297,-94,0
298,-95,0
299,-67,1
300,-90,0
301,-96,0
302,-87,0
303,-90,0
304,-96,0
305,-89,0
306,-71,1
307,-90,0
308,-99,0
