"rssi","uuid","eventId","logType","timeStamp"
"-96","03941279-7ba4-47aa-86f6-20fbd4f9e5ac","0","0","1649136408706"
"-96","03941279-7ba4-47aa-86f6-20fbd4f9e5ac","0","0","1649136408709"
"-96","03941279-7ba4-47aa-86f6-20fbd4f9e5ac","0","0","1649136408715"
"-96","03941279-7ba4-47aa-86f6-20fbd4f9e5ac","0","0","1649136408812"
"-96","03941279-7ba4-47aa-86f6-20fbd4f9e5ac","0","0","1649136408814"
"-96","03941279-7ba4-47aa-86f6-20fbd4f9e5ac","0","0","1649136408817"
"-95","03941279-7ba4-47aa-86f6-20fbd4f9e5ac","0","0","1649136408947"
"-95","03941279-7ba4-47aa-86f6-20fbd4f9e5ac","0","0","1649136408950"
"-95","03941279-7ba4-47aa-86f6-20fbd4f9e5ac","0","0","1649136408955"
"-94","03941279-7ba4-47aa-86f6-20fbd4f9e5ac","0","0","1649136409185"
"-94","03941279-7ba4-47aa-86f6-20fbd4f9e5ac","0","0","1649136409188"
"-94","03941279-7ba4-47aa-86f6-20fbd4f9e5ac","0","0","1649136409191"
"-96","03941279-7ba4-47aa-86f6-20fbd4f9e5ac","0","0","1649136409290"
"-96","03941279-7ba4-47aa-86f6-20fbd4f9e5ac","0","0","1649136409293"
"-96","03941279-7ba4-47aa-86f6-20fbd4f9e5ac","0","0","1649136409296"
"-97","03941279-7ba4-47aa-86f6-20fbd4f9e5ac","0","0","1649136409422"
"-97","03941279-7ba4-47aa-86f6-20fbd4f9e5ac","0","0","1649136409424"
"-97","03941279-7ba4-47aa-86f6-20fbd4f9e5ac","0","0","1649136409425"
"-92","03941279-7ba4-47aa-86f6-20fbd4f9e5ac","0","0","1649136409527"
"-92","03941279-7ba4-47aa-86f6-20fbd4f9e5ac","0","0","1649136409529"
"-92","03941279-7ba4-47aa-86f6-20fbd4f9e5ac","0","0","1649136409531"
"-97","03941279-7ba4-47aa-86f6-20fbd4f9e5ac","0","0","1649136409785"
"-97","03941279-7ba4-47aa-86f6-20fbd4f9e5ac","0","0","1649136409788"
"-97","03941279-7ba4-47aa-86f6-20fbd4f9e5ac","0","0","1649136409790"
"-97","03941279-7ba4-47aa-86f6-20fbd4f9e5ac","0","0","1649136409890"
"-97","03941279-7ba4-47aa-86f6-20fbd4f9e5ac","0","0","1649136409895"
"-97","03941279-7ba4-47aa-86f6-20fbd4f9e5ac","0","0","1649136409897"
"-92","03941279-7ba4-47aa-86f6-20fbd4f9e5ac","0","0","1649136410025"
